"","hospital_pk","collection_week","state","ccn","hospital_name","address","city","zip","hospital_subtype","fips_code","is_metro_micro","total_beds_7_day_avg","all_adult_hospital_beds_7_day_avg","all_adult_hospital_inpatient_beds_7_day_avg","inpatient_beds_used_7_day_avg","all_adult_hospital_inpatient_bed_occupied_7_day_avg","inpatient_beds_used_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg","inpatient_beds_7_day_avg","total_icu_beds_7_day_avg","total_staffed_adult_icu_beds_7_day_avg","icu_beds_used_7_day_avg","staffed_adult_icu_bed_occupancy_7_day_avg","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg","staffed_icu_adult_patients_confirmed_covid_7_day_avg","total_patients_hospitalized_confirmed_influenza_7_day_avg","icu_patients_confirmed_influenza_7_day_avg","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg","total_beds_7_day_sum","all_adult_hospital_beds_7_day_sum","all_adult_hospital_inpatient_beds_7_day_sum","inpatient_beds_used_7_day_sum","all_adult_hospital_inpatient_bed_occupied_7_day_sum","inpatient_beds_used_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum","inpatient_beds_7_day_sum","total_icu_beds_7_day_sum","total_staffed_adult_icu_beds_7_day_sum","icu_beds_used_7_day_sum","staffed_adult_icu_bed_occupancy_7_day_sum","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum","staffed_icu_adult_patients_confirmed_covid_7_day_sum","total_patients_hospitalized_confirmed_influenza_7_day_sum","icu_patients_confirmed_influenza_7_day_sum","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum","total_beds_7_day_coverage","all_adult_hospital_beds_7_day_coverage","all_adult_hospital_inpatient_beds_7_day_coverage","inpatient_beds_used_7_day_coverage","all_adult_hospital_inpatient_bed_occupied_7_day_coverage","inpatient_beds_used_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage","inpatient_beds_7_day_coverage","total_icu_beds_7_day_coverage","total_staffed_adult_icu_beds_7_day_coverage","icu_beds_used_7_day_coverage","staffed_adult_icu_bed_occupancy_7_day_coverage","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage","staffed_icu_adult_patients_confirmed_covid_7_day_coverage","total_patients_hospitalized_confirmed_influenza_7_day_coverage","icu_patients_confirmed_influenza_7_day_coverage","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_adult_covid_confirmed_18.19_7_day_sum","previous_day_admission_adult_covid_confirmed_20.29_7_day_sum","previous_day_admission_adult_covid_confirmed_30.39_7_day_sum","previous_day_admission_adult_covid_confirmed_40.49_7_day_sum","previous_day_admission_adult_covid_confirmed_50.59_7_day_sum","previous_day_admission_adult_covid_confirmed_60.69_7_day_sum","previous_day_admission_adult_covid_confirmed_70.79_7_day_sum","previous_day_admission_adult_covid_confirmed_80._7_day_sum","previous_day_admission_adult_covid_confirmed_unknown_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_adult_covid_suspected_18.19_7_day_sum","previous_day_admission_adult_covid_suspected_20.29_7_day_sum","previous_day_admission_adult_covid_suspected_30.39_7_day_sum","previous_day_admission_adult_covid_suspected_40.49_7_day_sum","previous_day_admission_adult_covid_suspected_50.59_7_day_sum","previous_day_admission_adult_covid_suspected_60.69_7_day_sum","previous_day_admission_adult_covid_suspected_70.79_7_day_sum","previous_day_admission_adult_covid_suspected_80._7_day_sum","previous_day_admission_adult_covid_suspected_unknown_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum","previous_day_total_ED_visits_7_day_sum","previous_day_admission_influenza_confirmed_7_day_sum","geocoded_hospital_address","hhs_ids","previous_day_admission_adult_covid_confirmed_7_day_coverage","previous_day_admission_pediatric_covid_confirmed_7_day_coverage","previous_day_admission_adult_covid_suspected_7_day_coverage","previous_day_admission_pediatric_covid_suspected_7_day_coverage","previous_week_personnel_covid_vaccinated_doses_administered_7_day","total_personnel_covid_vaccinated_doses_none_7_day","total_personnel_covid_vaccinated_doses_one_7_day","total_personnel_covid_vaccinated_doses_all_7_day","previous_week_patients_covid_vaccinated_doses_one_7_day","previous_week_patients_covid_vaccinated_doses_all_7_day"
"1","ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4","2022/01/07","LA","","Alexandria Emergency Hospital","5900 Coliseum Blvd","Alexandria",71303,"Short Term",NA,"false",14,12,12,NA,NA,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,98,84,84,21,21,7,0,0,0,0,98,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-92.51048 31.295636)","",7,7,7,7,0,37,26,26,0,0
"2","3b081d5ef1c552538e4af4aa593a857bb922a4f364a412e69f912f826ae12879","2022/01/07","LA","","Surgery Center of Zachary","","",70791,"Short Term",NA,"false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-91.145057 30.655648)","",7,7,7,7,0,0,0,0,0,0
"3","aab2bb3ab769da90baf57242c96ec481afb5ec6a2337848975e2451909a544a5","2022/01/07","LA","","Crescent City Surgical Centre","","",70118,"Short Term",NA,"false",10.1,10.1,10.1,4.9,4.9,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,71,71,71,34,34,7,0,0,0,0,71,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-90.123884 29.949725)","",7,7,7,7,0,0,0,163,0,0
"4","640001","2022/01/07","AS","640001","LBJ TROPICAL MEDICAL CENTER","FAGAALU VILLAGE, P O BOX LBJ","PAGO PAGO",96799,"Short Term",NA,"false",150,122,122,69,53.6,0,0,0,0,0,150,7,7,NA,NA,0,0,0,0,0,300,244,854,483,375,7,0,0,0,0,1050,49,49,23,23,0,0,0,0,0,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,"","[C640001-A]",7,7,7,7,0,11,0,800,0,0
"5","010108","2022/01/07","AL","010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE",36067,"Short Term",1001,"true",109,109,89,75.7,75.7,32.4,32.4,31.4,0,0,89,6,6,11.3,11.3,NA,NA,NA,0,0,763,763,623,530,530,7,227,220,0,0,623,42,42,79,79,24,24,4,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,0,0,0,NA,5,6,7,NA,0,0,156,NA,0,0,0,NA,0,NA,0,NA,0,0,648,NA,"POINT (-86.450937 32.464204)","[C010108-A]",7,7,7,7,21,150,38,256,0,0
"6","010100","2022/01/07","AL","010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE",36532,"Short Term",1003,"true",212.6,212.6,186.6,172.1,172.1,23.4,23.3,23.3,NA,NA,186.6,17.6,17.6,16.7,16.7,NA,NA,0,0,0,1488,1488,1306,1205,1205,7,163,163,NA,NA,1306,123,123,117,117,25,25,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,32,0,0,NA,NA,5,8,8,8,0,NA,424,7,0,NA,NA,0,0,0,4,NA,0,0,1103,0,"POINT (-87.889276 30.519992)","[C010100-A]",7,7,7,7,10,240,922,867,NA,0
"7","010083","2022/01/07","AL","010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY",36535,"Short Term",1003,"true",149,145,124,79.4,79.4,14,14,14,0,0,128,10,10,9.1,9.1,4.1,4.1,NA,NA,NA,1043,1015,868,556,556,7,98,98,0,0,896,70,70,64,64,29,29,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,27,0,NA,NA,NA,6,NA,8,8,0,0,418,22,0,0,0,NA,NA,5,7,5,0,0,1037,0,"POINT (-87.683191 30.425628)","[C010083-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"8","010129","2022/01/07","AL","010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE",36507,"Short Term",1003,"true",75,75,61,44.7,44.7,7.6,7.6,7.6,0,0,61,5,5,4.3,4.3,NA,NA,0,0,0,525,525,427,313,313,7,53,53,0,0,427,35,35,30,30,9,9,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,0,NA,0,0,5,NA,NA,6,0,0,191,0,0,0,0,0,0,0,0,0,0,0,383,0,"POINT (-87.783711 30.903337)","[C010129-A]",7,7,7,7,8,92,246,230,0,0
"9","010069","2022/01/07","AL","010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA",36027,"Short Term",1005,"true",50.1,50.1,43.1,28,28,4.9,4.9,4.9,0,0,43.1,5,5,NA,NA,0,0,NA,NA,NA,351,351,302,196,196,7,34,34,0,0,302,35,35,25,25,0,0,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,353,NA,"POINT (-85.156644 31.887979)","[C010069-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"10","010058","2022/01/07","AL","010058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE",35042,"Short Term",1007,"true",34,34,30,13.4,13.4,NA,NA,NA,0,0,30,0,0,0,0,0,0,0,0,0,238,238,210,94,94,7,5,NA,0,0,210,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,0,0,0,0,0,0,0,0,0,292,NA,NA,0,0,0,0,0,0,0,0,0,477,0,"POINT (-87.147865 32.951101)","[C010058-A]",7,7,7,7,NA,86,222,217,NA,NA
